OIL,INDUSTRIAL,SOY (PART HYDR),FOR NON-DAIRY BUTTER FLAVOR;884;0;100;0
OIL,INDUSTRIAL,SOY ( PART HYDROGENATED),ALLPURP;884;0;100;0
OIL,INDUSTRIAL,SOY (PART HYDR ) & SOY,POURABLE FRY;884;0;100;0
OIL,INDUS,SOY (PART HYDROG) & CTTNSD,TORTILLA SHORTENING;884;0;100;0
MARGARINE-LIKE SHORTENING,INDUS,SOY(PART  HYDR),CTTNSD,& SOY;628;0;71;0
OIL,INDUSTRIAL,PALM KERNEL,CONFECTION FAT;884;0;100;0
OIL,INDUSTRIAL,PALM KERNEL (HYDROGENATED),CONFECTION FAT;884;0;100;0
OIL,INDUSTRIAL,PALM KERNEL (HYDROGENATED),CONFECTION FAT;884;0;100;0
OIL,INDUSTRIAL,COCNT,CONFECTION FAT,ICE CRM COATINGS;884;0;100;0
OIL,INDUSTRIAL,PALM KERNEL (HYDROG) FOR WHIPPED TOPPINGS;884;0;100;0
OIL,INDUSTRIAL,COCNT (HYDROGENATED),FOR TOPPINGS & WHITENERS;880;0;99.5;0
OIL,INDUSTRIAL,PALM & PALM KERNEL,FILLING FAT (NON-HYDROG);880;0;99.5;0
OIL,INDUSTRIAL,PALM KERNEL (HYDROGENATED),FILLING FAT;884;0;100;0
OIL,INDUSTRIAL,SOY (PARTHYDR ),PALM, ICINGS & FILLINGS;884;0;100;0
MARGARINE,INDUS,NON-DAIRY,CTTNSD,SOY OIL (PART HYDR );714;1.9;80.2;0
SHORTENING,INDUSTRIAL,SOY (PARTIALLY HYDR )&CORN FOR FRYING;884;0;100;0
SHORTENING,INDUS,SOY (PART HYDR ) FOR BAKING & CONFECTIONS;884;0;100;0
MARGARINE,INDUS,SOY & PART HYDR SOY OIL,BAKING,SAUCES,CANDY;714;0.18;80;0.71
USDA CMDTY FD,OIL,VEG,SOYBN,REFINED;884;0;100;0
USDA CMDTY FD,OIL,VEG,LO SATURATED FAT;884;0;100;0
MARGARINE-LIKE SPRD,SMART BALANCE REG BUTTERY SPRD;583;0.14;64.63;0.14
MARGARINE-LIKE SPRD,SMART BALANCE LT BUTTERY SPRD;337;0.02;36.41;1.98
MARGARINE-LIKE SPRD,SMART BEAT SUPER LT WO/ SATURATED FAT;158;0;17.1;0
MARGARINE-LIKE SPRD,SMART BEAT SMART SQUEEZE;47;0;2.1;7.1
MARGARINE-LIKE SPRD,SMART BALANCE OMEGA PLUS SPRD;605;0.13;70.95;0.16
OIL,VEG,NATREON CANOLA,HI STABILITY,NON TRANS,HI OLEIC (70%);884;0;100;0
OIL,PAM COOKING SPRAY,ORIGINAL;792;0.26;78.69;20.69
